tab	specimens
specimen	experiments	sample	dir_alpha95	dir_comp	dir_dec	dir_inc	dir_n_comps	dir_n_measurements	dir_tilt_correction	dir_dang	dir_mad_free	meas_step_max	meas_step_min	meas_step_unit	analysts	instrument_codes	software_packages	int_corr	citations	method_codes	result_quality	volume	weight	location	site
GQ.10a		GQ.10a																	This study			2e-05		Goodrich Quartzite	GQ
GQ.10a	GQ.10a_LP-DIR-T	GQ.10a		Mgt	308.5	-25.9	2	6	100	1.5	5.0	853	828	K		hargrave 2024-05-07 15:01:51	pmagpy-4.2.109: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT	g			Goodrich Quartzite	GQ
GQ.10a	GQ.10a_LP-DIR-T	GQ.10a		Hmt	325.9	-22.1	2	5	100	0.0	9.5	941	888	K		hargrave 2024-05-07 15:01:51	pmagpy-4.2.109: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR-TILT	g			Goodrich Quartzite	GQ
GQ.10a	GQ.10a_LP-DIR-T	GQ.10a		Mgt	321.6	-39.3	2	6	0	1.5	5.0	853	828	K		hargrave 2024-05-07 15:01:51	pmagpy-4.2.109: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO	g			Goodrich Quartzite	GQ
GQ.10a	GQ.10a_LP-DIR-T	GQ.10a		Hmt	337.1	-29.1	2	5	0	0.0	9.5	941	888	K		hargrave 2024-05-07 15:01:51	pmagpy-4.2.109: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR-GEO	g			Goodrich Quartzite	GQ
GQ.11a		GQ.11a																	This study			1.1e-05		Goodrich Quartzite	GQ
GQ.11a	GQ.11a_LP-DIR-T	GQ.11a		Hmt	51.9	55.9	2	17	100	0.0	6.3	963	903	K		hargrave 2024-05-09 14:03:21	pmagpy-4.2.109: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR-TILT	g			Goodrich Quartzite	GQ
GQ.11a	GQ.11a_LP-DIR-T	GQ.11a		Mgt	40.0	59.2	2	7	100	2.8	11.9	853	773	K		hargrave 2024-05-09 14:03:21	pmagpy-4.2.109: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT	g			Goodrich Quartzite	GQ
GQ.11a	GQ.11a_LP-DIR-T	GQ.11a		Hmt	14.4	73.9	2	17	0	0.0	6.3	963	903	K		hargrave 2024-05-09 14:03:21	pmagpy-4.2.109: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR-GEO	g			Goodrich Quartzite	GQ
GQ.11a	GQ.11a_LP-DIR-T	GQ.11a		Mgt	351.5	71.5	2	7	0	2.8	11.9	853	773	K		hargrave 2024-05-09 14:03:21	pmagpy-4.2.109: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO	g			Goodrich Quartzite	GQ
GQ.12a		GQ.12a																	This study			2.2e-05		Goodrich Quartzite	GQ
GQ.12a	GQ.12a_LP-DIR-T	GQ.12a		Hmt	52.0	64.3	2	14	100	0.0	7.5	961	913	K		hargrave 2024-05-09 11:37:45	pmagpy-4.2.109: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR-TILT	g			Goodrich Quartzite	GQ
GQ.12a	GQ.12a_LP-DIR-T	GQ.12a		Mgt	154.4	-37.1	2	9	100	2.0	5.4	853	798	K		hargrave 2024-05-09 11:37:45	pmagpy-4.2.109: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT	g			Goodrich Quartzite	GQ
GQ.12a	GQ.12a_LP-DIR-T	GQ.12a		Hmt	344.7	78.9	2	14	0	0.0	7.5	961	913	K		hargrave 2024-05-09 11:37:45	pmagpy-4.2.109: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR-GEO	g			Goodrich Quartzite	GQ
