,Final Pb206/U238_mean,Final Pb206/U238_prop2SE,Final Pb206/U238 age_mean,Final Pb206/U238 age_prop2SE,Final Pb207/U235_mean,Final Pb207/U235_prop2SE,Final Pb207/U235 age_mean,Final Pb207/U235 age_prop2SE,Final Pb207/Pb206_mean,Final Pb207/Pb206_prop2SE,Final Pb207/Pb206 age_mean,Final Pb207/Pb206 age_prop2SE,Final U238/Pb206_mean,Final U238/Pb206_prop2SE,rho 207Pb/206Pb v 238U/206Pb,rho 206Pb/238U v 207Pb/235U,
GQ6_2_matrix
GQ6_2_matrix-56,0.638994,0.0352025,3181.09,138.709,46.042,2.92434,3904.59,63.7858,0.539921,0.00792749,4347.68,21.548,1.62824,0.0914831,0.285457,0.643117,
GQ6_2_matrix-57,0.675591,0.0381537,3320.73,146.659,50.0535,3.22656,3986.03,64.092,0.552108,0.00767741,4383.49,21.09,1.54153,0.0873945,0.279081,0.729669,
GQ6_2_matrix-58,0.621154,0.0340698,3112.12,135.275,43.7996,2.75384,3857.11,62.1585,0.525554,0.00685293,4309.45,19.1705,1.65512,0.0901581,0.36582,0.559166,
GQ6_2_matrix-59,0.602645,0.0336314,3036.81,135.508,42.2242,2.67935,3822.55,61.6144,0.520934,0.00713598,4296.04,20.0072,1.70054,0.0963054,0.52201,0.61453,
GQ6_2_matrix-60,0.717481,0.0413572,3477.83,154.398,57.0709,3.70737,4119.29,62.5146,0.588799,0.0093812,4476.05,22.4253,1.4286,0.0818059,0.353374,0.722105,
GQ6_2_matrix-61,0.673023,0.0383982,3317.79,150.84,53.8597,3.48298,4060.48,65.3008,0.585283,0.00847869,4465.79,20.8796,1.50115,0.084307,0.329982,0.65469,
GQ6_2_matrix-62,0.868043,0.0465227,4022.72,160.781,70.9249,4.38719,4338.73,63.365,0.614155,0.00969589,4537.26,23.3579,1.24447,0.0662667,0.407696,0.549507,
GQ6_2_matrix-63,0.840593,0.0460059,3925.97,159.683,64.8142,4.04523,4248.14,64.252,0.583014,0.00958315,4458.32,24.0942,1.30236,0.0701724,0.398608,0.625275,
GQ6_2_matrix-64,0.887238,0.0480039,4094.75,168.253,70.8014,4.4383,4336.58,64.5444,0.60282,0.00897931,4508.28,21.8831,1.23624,0.0678603,0.298031,0.607303,
GQ6_2_matrix-65,0.853482,0.0471546,3970.4,162.749,67.7206,4.2772,4289.21,62.8217,0.600951,0.00970732,4502.7,23.4595,1.29553,0.0704866,0.472648,0.472133,
GQ6_2_matrix-66,0.771703,0.0430629,3679.62,155.76,53.744,3.47406,4057.92,66.2667,0.526241,0.0083966,4314.39,25.0401,1.43466,0.079155,0.132111,0.711315,
GQ6_2_matrix-67,0.747537,0.0419326,3591.16,154.159,52.7518,3.39806,4038,64.1312,0.534552,0.00811787,4335.4,21.8463,1.47794,0.0824864,0.198467,0.744787,
GQ6_2_matrix-68,0.829475,0.0477209,3881.66,170.477,64.067,4.21572,4228.15,68.5414,0.584603,0.00918692,4463.02,22.7352,1.32605,0.0773848,0.299472,0.577355,
GQ6_2_matrix-69,1.01792,0.0579434,4513.8,184.175,85.5485,5.49523,4525.22,67.3487,0.640093,0.00980329,4594.91,22.4022,1.07576,0.0609736,0.338256,0.743129,
GQ6_2_matrix-70,0.950112,0.0535756,4303.36,183.708,82.2524,5.25317,4484.3,64.1053,0.649564,0.0112561,4611.63,24.7164,1.13746,0.0695056,0.574159,0.545187,
GQ6_2_matrix-71,0.955207,0.0544656,4311.05,178.375,80.4901,5.22288,4462.85,65.8648,0.635143,0.0103999,4582.69,23.8897,1.12537,0.0652104,0.324207,0.759955,
GQ6_2_matrix-72,0.943857,0.053893,4281.52,181.839,79.8099,5.21802,4450.62,65.6032,0.635414,0.0102877,4583.6,23.4339,1.12652,0.0619702,0.164285,0.772123,
GQ6_2_matrix-73,0.841408,0.0491679,3922.07,169.438,66.0121,4.43889,4258.87,68.4727,0.58927,0.0111103,4471.13,28.0767,1.26272,0.0724211,0.170994,0.763708,
GQ6_2_matrix-74,0.902373,0.0506105,4144.34,174.945,78.5818,5.01321,4440.91,62.5724,0.64907,0.0106279,4614.15,23.8331,1.15888,0.0651083,0.474457,0.5773,
GQ6_2_matrix-75,0.889332,0.0510257,4090.49,171.648,77.5386,5.04495,4422.55,64.5003,0.649635,0.00992405,4616.4,22.291,1.17149,0.0659134,0.227469,0.76316,
GQ6_2_matrix-76,0.856874,0.0490346,3983.46,169.948,76.4141,4.85662,4413.42,62.6604,0.662206,0.00850392,4646,18.5411,1.2035,0.0690934,0.386752,0.713025,
GQ6_2_matrix-77,0.909195,0.0499442,4169.4,172.806,83.6898,5.27153,4503.37,62.7657,0.678457,0.0078654,4681.83,16.8027,1.12068,0.0608891,0.228364,0.647096,
GQ6_2_matrix-78,0.910646,0.0503781,4173.49,173.478,84.0639,5.31772,4509.41,65.5227,0.681741,0.00889171,4687.77,18.8814,1.11765,0.0619807,0.326525,0.666103,
GQ6_2_matrix-79,0.850617,0.0476179,3960.38,165.822,78.0077,4.96157,4433.28,65.4316,0.676277,0.0083529,4678.95,17.0457,1.19219,0.0669742,0.37033,0.790902,
GQ6_2_matrix-80,0.79198,0.0435337,3755.83,155.195,71.0223,4.41717,4340.09,62.9811,0.658745,0.00850197,4640.57,19.1903,1.27713,0.0680197,0.56104,0.525255,
GQ6_2_matrix-81,0.815705,0.0452383,3844.6,164.98,75.5286,4.79928,4398.26,63.8907,0.677127,0.0091498,4677.65,19.5228,1.23568,0.0682495,0.283154,0.731765,
GQ6_2_matrix-82,0.71515,0.0401029,3470.47,150.112,61.0351,3.8618,4185.36,63.5201,0.625807,0.00958578,4562.25,22.3564,1.41669,0.0789155,0.367247,0.713418,
GQ6_2_matrix-83,1.01838,0.0545798,4520.17,174.474,95.2201,5.86067,4631.84,62.8967,0.672307,0.00895326,4667.54,19.1177,1.01893,0.0557265,0.344122,0.691073,
GQ6_2_matrix-84,1.34121,0.0789781,5453.65,213.155,136.19,9.25748,4978.41,66.2715,0.728007,0.011754,4765.42,22.4239,0.794874,0.0450808,-0.0257041,0.888357,
GQ6_2_matrix-85,1.24409,0.066857,5206.2,197.35,123.111,7.55887,4890.49,64.6064,0.710886,0.0127994,4733.92,25.7557,0.848868,0.0476402,0.420938,0.558163,
GQ6_2_matrix-86,1.40673,0.0755498,5648.4,202.179,143.801,9.01312,5046.34,64.2,0.734677,0.0125799,4770.9,20.6703,0.757431,0.0414353,0.468434,0.583525,
