,Si29_mean,Si29_2SE,Fe57_mean,Fe57_2SE,Pb204_mean,Pb204_2SE,Pb206_mean,Pb206_2SE,Pb207_mean,Pb207_2SE,Pb208_mean,Pb208_2SE,Th232_mean,Th232_2SE,U238_mean,U238_2SE,TotalBeam_mean,TotalBeam_2SE,BeamSeconds_mean,BeamSeconds_2SE,Mask_mean,Mask_2SE,Si29_CPS_mean,Si29_CPS_2SE,Fe57_CPS_mean,Fe57_CPS_2SE,Pb204_CPS_mean,Pb204_CPS_2SE,Pb206_CPS_mean,Pb206_CPS_2SE,Pb207_CPS_mean,Pb207_CPS_2SE,Pb208_CPS_mean,Pb208_CPS_2SE,Th232_CPS_mean,Th232_CPS_2SE,U238_CPS_mean,U238_CPS_2SE,TotalBeam_CPS_mean,TotalBeam_CPS_2SE,Pb206/U238_mean,Pb206/U238_2SE,Pb206/U238 age_mean,Pb206/U238 age_2SE,Pb207/U235_mean,Pb207/U235_2SE,Pb207/U235 age_mean,Pb207/U235 age_2SE,Pb208/Th232_mean,Pb208/Th232_2SE,Pb208/Th232 age_mean,Pb208/Th232 age_2SE,DC Pb206/U238_mean,DC Pb206/U238_2SE,DC Pb206/U238_prop2SE,DC Pb206/U238 age_mean,DC Pb206/U238 age_2SE,DC Pb207/U235_mean,DC Pb207/U235_2SE,DC Pb207/U235_prop2SE,DC Pb207/U235 age_mean,DC Pb207/U235 age_2SE,DC Pb208/Th232_mean,DC Pb208/Th232_2SE,DC Pb208/Th232 age_mean,DC Pb208/Th232 age_2SE,DC Pb207/Pb206_mean,DC Pb207/Pb206_2SE,DC Pb207/Pb206_prop2SE,DC Pb207/Pb206 age_mean,DC Pb207/Pb206 age_2SE,DC U238/Pb206_mean,DC U238/Pb206_2SE,Raw U/Th_mean,Raw U/Th_2SE,Final Pb206/U238_mean,Final Pb206/U238_2SE,Final Pb206/U238_prop2SE,Final Pb206/U238 age_mean,Final Pb206/U238 age_2SE,Final Pb206/U238 age_prop2SE,Final Pb207/U235_mean,Final Pb207/U235_2SE,Final Pb207/U235_prop2SE,Final Pb207/U235 age_mean,Final Pb207/U235 age_2SE,Final Pb207/U235 age_prop2SE,Final Pb207/Pb206_mean,Final Pb207/Pb206_2SE,Final Pb207/Pb206_prop2SE,Final Pb207/Pb206 age_mean,Final Pb207/Pb206 age_2SE,Final Pb207/Pb206 age_prop2SE,Final U238/Pb206_mean,Final U238/Pb206_2SE,Final U238/Pb206_prop2SE,rho 207Pb/206Pb v 238U/206Pb,rho 206Pb/238U v 207Pb/235U,
GQ5_12
GQ5_12-1 Mag,72014.5,777.05,9.04264e+06,250611,863.99,32.2029,116.224,31.4898,61.3696,19.7657,99.3355,36.7331,23.1788,8.98145,105.601,30.1042,9.11623e+06,251079,20.4367,1.73377,1,0,16153.9,768.714,9.0421e+06,250612,37.796,32.3834,111.705,31.4897,57.559,19.7656,82.6727,36.7357,23.2973,8.98206,105.01,30.1042,9.05897e+06,251063,0.511716,2.05238,4640.36,861.295,95.8268,215.265,4606.37,351.124,994.524,609.684,96443.7,17800.3,2.65091,4.99014,5.00162,7220.15,1215.49,111.39,168.234,168.803,4321.29,358.179,994.524,609.684,96443.7,17800.3,0.411222,0.15581,0.155818,3693.47,262.865,0.541934,0.305102,461.149,81.4889,0.889332,1.66902,1.67286,4056.72,820.708,822.595,113.586,171.306,171.885,4338.42,358.414,359.625,0.411429,0.15589,0.155898,3694.25,262.847,262.86,1.66416,0.937199,0.939354,0.428204,0.900137,
GQ5_12-2,82117,974.873,8.29323e+06,328816,837.447,36.1396,1960.42,67.2538,645.271,30.7882,1772.32,106.111,363.405,30.8768,1787.1,69.7294,8.38306e+06,329189,20.4367,1.73377,1,0,27349.3,977.3,8.29262e+06,328817,-13.1238,36.1435,1955.88,67.2544,641.47,30.7881,1755.94,106.103,363.101,30.8787,1786.46,69.7342,8.3268e+06,329165,1.12819,0.0358833,4834.78,105.901,50.6036,2.03505,3975.43,38.7923,-72.0685,92.3188,36415.2,1656.1,2.46878,0.0856473,0.326785,7944.75,155.849,37.0944,1.7339,4.92467,3658.7,44.0168,-72.0685,92.3188,36415.2,1656.1,0.33004,0.010615,0.0106902,3592,53.0106,0.416696,0.0158684,-71.0179,98.4595,0.82044,0.0285076,0.10877,3832.29,99.0149,377.789,37.6147,1.75969,4.99792,3672.39,44.0645,125.153,0.330231,0.010621,0.0106963,3592.88,53.0066,53.3823,1.28979,0.0492068,0.187747,-0.0731325,0.889765,
GQ5_12-3,73954.5,842.36,8.97869e+06,275068,806.8,32.1317,1248.41,41.5029,435.88,27.2455,1155.98,81.1407,163.227,20.5515,1182.39,29.6774,9.05792e+06,275473,20.6771,1.73377,1,0,20157.6,839.634,8.978e+06,275069,-49.3038,32.1324,1243.82,41.5036,432.088,27.2453,1140.81,81.1238,162.139,20.5515,1181.44,29.6775,9.00253e+06,275461,1.07686,0.0483633,4651.02,138.99,53.3959,4.74897,3946.19,56.8505,-160.514,59.977,40507.8,2416.02,2.41383,0.157112,0.346062,7663.53,239.1,39.6516,4.1205,6.42298,3627.29,70.3027,-160.514,59.977,40507.8,2416.02,0.352717,0.0168868,0.0169409,3654.3,72.6908,0.457467,0.0241436,-192.379,66.5118,0.799187,0.05207,0.114692,3668.48,153.549,338.213,40.1324,4.17164,6.50269,3639.1,70.341,109.647,0.352945,0.0168975,0.0169516,3655.3,72.685,72.918,1.4238,0.0752209,0.165685,-0.15824,0.969262,
GQ5_12-4,76796.4,1026.6,8.6636e+06,285294,901.006,32.8895,2350.55,107.218,706.557,38.8349,2154.14,118.834,548.023,90.4977,1329.15,100.345,8.74928e+06,285417,20.4367,1.73377,1,0,23566.3,1028.74,8.66288e+06,285294,49.728,32.8699,2345.93,107.218,702.775,38.8347,2141.03,118.799,546.911,90.4947,1328.07,100.344,8.69435e+06,285408,1.87173,0.0818585,6764.5,189.503,77.9757,4.40334,4408.25,58.9239,6.56215,1.19431,35592.4,2062.17,4.06295,0.166811,0.545148,10427.4,212.17,57.1393,3.3804,7.86375,4084.17,58.7948,6.56215,1.19431,35592.4,2062.17,0.300143,0.00977839,0.00984595,3449.82,52.2964,0.252488,0.0109696,3.45751,0.418266,1.34231,0.0551184,0.18013,5454.44,157.471,514.623,57.8211,3.42057,7.95719,4095.99,58.8088,136.806,0.300359,0.00978529,0.0098529,3450.94,52.292,52.6533,0.788032,0.0342367,0.111887,-0.16026,0.772398,
GQ5_12-5,71986.1,1289.21,8.57993e+06,260589,856.481,33.1667,2893.1,97.9978,768.347,37.1324,2585.8,119.103,356.216,38.3826,1323.41,89.8644,8.66279e+06,262391,20.4367,1.73377,1,0,19192.7,1282.82,8.57921e+06,260588,24.5711,33.111,2888.45,97.9979,764.574,37.1323,2575.17,119.064,355.797,38.3867,1322.57,89.8613,8.6083e+06,262380,2.33696,0.113457,7665.16,232.87,86.7573,4.87686,4521.13,59.3036,-10.5578,42.6765,45375.9,2279.32,5.22375,0.296641,0.730246,11497.3,342.847,63.7158,4.16558,8.94626,4179.31,77.0801,-10.5578,42.6765,45375.9,2279.32,0.265986,0.00791292,0.00797844,3276.05,50.5175,0.210519,0.0143676,-4.57452,19.6258,1.72529,0.0979624,0.241155,6287.58,249.446,614.064,64.5687,4.21913,9.06128,4192.63,77.0745,165.53,0.266195,0.00791906,0.00798463,3277.29,50.5121,50.9304,0.657266,0.0448524,0.110414,-0.17784,0.824476,
GQ5_12-6,69550.9,734.105,9.005e+06,331997,863.991,36.7456,1051.04,48.0933,284.893,24.0044,950.373,76.938,35.3335,12.2636,161.336,36.8678,9.07819e+06,332559,20.5569,1.72821,1,0,17270.4,725.812,9.0043e+06,331997,49.1984,36.7328,1046.4,48.0932,281.13,24.0043,942.183,76.9218,35.3785,12.2635,161.035,36.8678,9.02433e+06,332544,13.9706,2.04682,15548.3,828.886,549.344,104.539,5954.95,171.055,15071.6,1936.94,158018,11292.7,31.0744,4.70671,6.15707,20139.7,926.514,420.268,91.9585,105.752,5638.05,177.953,15071.6,1936.94,158018,11292.7,0.271552,0.0153893,0.0154246,3232.62,96.732,0.0679979,0.0150474,1584.78,261.12,10.2769,1.55642,2.03602,13795,802.969,1050.4,427.155,93.4175,107.43,5654.63,177.956,204.649,0.271785,0.0154023,0.0154375,3233.98,96.72,96.9414,0.211839,0.046871,0.0613141,-0.183652,0.999098,
GQ5_12-7,70064.9,661.61,8.92756e+06,276302,803.596,26.1236,1723.8,122.528,449.122,50.4143,1535.88,149.825,145.455,18.8287,610.668,57.419,9.00328e+06,276891,20.4367,1.73377,1,0,18416.1,660.003,8.92682e+06,276303,-10.3454,26.1205,1719.18,122.527,445.369,50.4142,1529.27,149.809,145.421,18.8288,610.735,57.4172,8.95002e+06,276881,3.22082,0.148773,9163,227.715,107.506,6.05287,4720,55.1327,-8996.26,2839.59,45359.6,2312.44,6.91924,0.286957,0.929276,13305.5,262.42,79.0542,4.97033,11.0091,4385.14,57.3242,-8996.26,2839.59,45359.6,2312.44,0.252046,0.0119961,0.012035,3130.51,75.9706,0.148735,0.00633563,-3259.64,1064.41,2.29512,0.0951555,0.30815,7664.55,203.538,659.133,80.7221,5.07051,11.231,4406.16,57.2884,126.891,0.25228,0.0120069,0.0120459,3131.99,75.9601,76.2064,0.461413,0.0196415,0.0636068,-0.00322063,0.737764,
GQ5_12-8,69495.9,1014.47,8.8664e+06,302229,866.913,30.3519,4569.37,431.393,1300.31,128.279,3763.45,334.725,1139.77,283.412,5570.9,843.653,8.95677e+06,305689,20.4367,1.73377,1,0,18177.1,1012.98,8.86561e+06,302230,51.8508,30.3373,4564.77,431.393,1296.56,128.279,3757.21,334.727,1139.78,283.411,5570.94,843.654,8.9038e+06,305687,0.897877,0.0416911,4123.6,137.894,34.3568,1.69778,3618.54,46.6541,5.01043,0.550216,33854.2,1804.22,1.93312,0.0826486,0.2604,6955.34,173.159,25.0139,1.22796,3.34199,3288.22,46.8747,5.01043,0.550216,33854.2,1804.22,0.281309,0.00741458,0.00749271,3350.77,41.2359,0.523336,0.0191634,6.59523,0.634387,0.644071,0.0275269,0.0867287,3196.07,111.181,350.298,25.6929,1.26074,3.4312,3314.35,46.9211,127.7,0.281589,0.00742197,0.00750017,3352.33,41.2307,41.6652,1.61298,0.0590606,0.186082,0.0531094,0.832227,
GQ5_12-9,70409.7,926.852,9.29415e+06,367858,789.96,31.217,877.711,91.3466,242.109,34.9851,654.635,95.9149,269.545,66.2644,1314.5,294.283,9.36926e+06,368865,20.4374,1.73384,1,0,19054.2,928.117,9.29328e+06,367860,-13.235,31.1824,873.143,91.3459,238.375,34.9849,647.782,95.9304,269.538,66.2644,1314.47,294.284,9.31621e+06,368869,1.57558,0.204899,5472.55,483.994,60.0087,9.04727,3788.59,167.898,-30597.5,14896.9,22934.8,3207.86,3.36941,0.437174,0.613491,8528.97,649.863,44.3986,7.35685,9.19565,3482.4,168.423,-30597.5,14896.9,22934.8,3207.86,0.274347,0.0181724,0.0182029,3233.69,108.388,0.570562,0.0784182,-13679.6,3220.85,1.12916,0.146438,0.205498,4420.99,420.729,590.414,45.921,7.60295,9.50326,3515.04,168.648,210.8,0.27464,0.0181917,0.0182222,3235.39,108.373,108.554,1.74394,0.239734,0.336421,-0.254596,0.952702,
