,Spot size (Âµm),Fe57_mean,Pb204_mean,Pb206_mean,Pb207_mean,Pb208_mean,Th232_mean,U238_mean,TotalBeam_mean,BeamSeconds_mean,Mask_mean,Fe57_CPS_mean,Pb204_CPS_mean,Pb206_CPS_mean,Pb207_CPS_mean,Pb208_CPS_mean,Th232_CPS_mean,U238_CPS_mean,TotalBeam_CPS_mean,Pb206/U238_mean,Pb206/U238 age_mean,Pb207/U235_mean,Pb207/U235 age_mean,Pb208/Th232_mean,Pb208/Th232 age_mean,DC Pb206/U238_mean,DC Pb206/U238_prop2SE,DC Pb206/U238 age_mean,DC Pb207/U235_mean,DC Pb207/U235_prop2SE,DC Pb207/U235 age_mean,DC Pb208/Th232_mean,DC Pb208/Th232 age_mean,DC Pb207/Pb206_mean,DC Pb207/Pb206_prop2SE,DC Pb207/Pb206 age_mean,DC U238/Pb206_mean,Raw U/Th_mean,Final Pb206/U238_mean,Final Pb206/U238_prop2SE,Final Pb206/U238 age_mean,Final Pb206/U238 age_prop2SE,Final Pb207/U235_mean,Final Pb207/U235_prop2SE,Final Pb207/U235 age_mean,Final Pb207/U235 age_prop2SE,Final Pb207/Pb206_mean,Final Pb207/Pb206_prop2SE,Final Pb207/Pb206 age_mean,Final Pb207/Pb206 age_prop2SE,Final U238/Pb206_mean,Final U238/Pb206_prop2SE,rho 206Pb/238U v 207Pb/235U,rho 207Pb/206Pb v 238U/206Pb,
Baseline
HFO-78,60,526.774,6033.08,15.493,16.0563,36.6197,7.04225,4.50704,6639.57,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,nan,nan,,nan,nan,nan,nan,,nan,nan,nan,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,nan,
HFO-10,60,1625.55,6130.31,27.6056,24.7887,35.2113,4.22535,33.2394,7880.93,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,nan,nan,,nan,nan,nan,nan,,nan,nan,nan,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,nan,
HFO-11,60,2378.44,6095.08,20.5634,21.1268,52.1127,2.8169,52.6763,8622.81,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,nan,nan,,nan,nan,nan,nan,,nan,nan,nan,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,nan,
HFO-12,60,2231.46,5989.4,24.7887,22.2535,47.8873,1.40845,53.2397,8370.43,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,nan,nan,,nan,nan,nan,nan,,nan,nan,nan,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,nan,
RAK-1,30,695.813,8231.46,16.338,15.2113,42.2535,4.22535,3.38028,9008.68,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,nan,nan,,nan,nan,nan,nan,,nan,nan,nan,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,nan,
91500-7,30,518.326,5991.51,18.8732,16.338,40.8451,9.85915,5.07042,6600.82,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,nan,nan,,nan,nan,nan,nan,,nan,nan,nan,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,nan,
91500-8,30,501.421,5970.38,12.6761,12.9577,35.2113,0,7.04225,6539.69,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,nan,nan,,nan,nan,nan,nan,,nan,nan,nan,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,nan,
91500-52,30,419.728,5883.71,16.9014,13.8028,22.5352,2.8169,8.16901,6367.67,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,nan,nan,,nan,nan,nan,nan,,nan,nan,nan,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,nan,
NIST 610-5,30,521.148,6259.24,13.2394,12.3944,26.7606,2.8169,2.8169,6838.42,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,nan,nan,,nan,nan,nan,nan,,nan,nan,nan,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,nan,
